subID,Trial_number,Sentence_ID,Sentence_pixel_length,Congruent_1,Familiar_1,LocationTop_1,Cued_1,Trialcorrect_1,Trialbroken_1,ST
51,18,18,117,2,2,2,1,1,1,1.7489
51,9,9,125,1,1,2,2,1,1,1.4071
51,10,10,128,2,2,1,1,1,1,1.6803
51,5,5,133,1,1,2,2,1,1,1.4854
51,16,16,128,1,2,2,2,1,1,1.5929
51,13,13,118,1,2,1,2,1,1,1.5562
51,16,16,111,2,2,1,2,1,1,1.4058
51,32,32,0,2,2,1,1,1,1,1.0356
51,27,27,106,1,1,1,1,1,1,1.3878
51,16,16,111,2,2,2,2,1,1,1.7566
51,13,13,118,2,1,1,2,1,1,1.4431
51,7,7,128,2,1,2,2,1,1,1.5415
51,13,13,118,2,1,2,1,1,1,1.7987
51,12,12,122,1,1,2,2,1,1,1.3803
51,30,30,97,2,1,2,1,1,1,1.5401
51,11,11,123,1,1,1,2,1,1,1.4946
51,15,15,121,2,2,1,1,1,1,1.405
51,10,10,124,1,1,1,2,1,1,1.5018
51,3,3,129,1,1,2,2,1,1,1.7151
51,23,23,109,1,1,1,1,1,1,1.7494
51,10,10,128,2,1,2,2,1,1,1.6678
51,17,17,113,1,1,2,1,1,1,1.6438
51,22,22,111,1,1,1,2,1,1,1.6307
51,14,14,121,1,2,2,1,1,1,1.473
51,5,5,133,1,2,1,2,1,1,1.5006
51,18,18,111,1,1,2,1,1,1,1.5426
51,31,31,0,1,2,2,1,1,1,0.86251
51,3,3,129,1,2,1,2,1,1,1.4303
51,22,22,115,2,1,1,2,1,1,1.4836
51,27,27,104,2,1,2,1,1,1,1.6146
51,16,16,128,1,1,1,2,1,1,1.5134
51,2,2,133,2,2,2,1,1,1,1.6515
51,15,15,121,2,2,1,2,1,1,1.7338
51,8,8,128,2,2,1,2,1,1,1.7265
51,2,2,131,1,2,1,1,1,1,1.6738
51,24,24,110,1,2,2,1,0,0,0.0071725
51,13,13,118,2,2,1,1,1,1,1.654
51,14,14,121,1,1,2,1,1,1,1.3009
51,20,20,115,2,2,2,1,1,1,1.7281
51,23,23,103,2,1,1,1,1,1,1.8964
51,10,10,128,2,1,1,1,1,1,1.7086
51,19,19,115,1,2,2,1,1,1,1.7866
51,4,4,128,1,1,1,2,1,1,1.5062
51,2,2,133,2,1,2,1,1,1,1.6323
51,32,32,0,1,2,1,1,1,1,1.1793
51,17,17,113,1,2,2,2,1,1,1.439
51,22,22,111,1,2,2,1,1,1,1.5275
51,22,22,111,1,1,2,2,1,1,1.7517
51,27,27,106,1,2,2,1,1,1,1.639
51,21,21,114,1,2,2,1,1,1,1.8238
51,2,2,131,1,2,2,2,1,1,1.3479
51,30,30,97,2,2,1,1,1,1,1.3023
51,25,25,111,2,1,2,1,1,1,1.1875
51,10,10,124,1,2,1,1,1,1,1.5371
51,19,19,112,2,1,2,1,1,1,1.5111
51,32,32,0,1,1,2,1,1,1,1.9588
51,22,22,115,2,2,2,2,1,1,1.7781
51,25,25,111,2,2,2,2,1,1,1.8481
51,29,29,102,2,2,2,2,1,1,1.315
51,3,3,129,1,1,2,1,1,1,1.61
51,12,12,117,2,2,2,2,1,1,1.6295
51,24,24,110,2,1,1,1,1,1,1.859
51,10,10,124,1,1,2,2,1,1,1.6117
51,4,4,125,2,1,1,1,1,1,1.2077
51,16,16,111,2,1,2,1,1,1,1.6558
51,30,30,96,1,2,1,2,1,1,1.3565
51,2,2,131,1,2,2,1,1,1,1.5175
51,8,8,128,2,1,2,2,1,1,1.7713
51,8,8,128,2,1,1,2,1,1,1.4414
51,11,11,123,1,2,2,2,1,1,1.591
51,21,21,109,2,2,2,2,1,1,1.9315
51,11,11,123,1,1,2,1,1,1,1.6511
51,7,7,128,2,2,2,2,1,1,1.8072
51,4,4,125,2,2,2,2,1,1,1.626
51,31,31,0,2,2,1,1,1,1,1.0527
51,6,6,129,2,1,1,2,1,1,1.5724
51,25,25,106,1,2,1,2,1,1,1.4219
51,23,23,109,1,1,1,2,1,1,1.61
51,23,23,103,2,2,1,2,1,1,1.6851
51,18,18,111,1,1,2,2,1,1,1.4983
51,20,20,110,1,1,2,2,1,1,1.5214
51,19,19,115,1,1,1,2,1,1,1.3077
51,1,1,136,2,2,2,2,1,1,1.2819
51,6,6,129,2,2,1,1,1,1,1.516
51,20,20,110,1,1,1,2,1,1,1.7343
51,22,22,115,2,2,1,1,1,1,1.6767
51,24,24,110,2,1,2,1,1,1,1.5247
51,2,2,133,2,1,2,2,1,1,1.6849
51,32,32,0,2,1,2,1,1,1,0.35454
51,23,23,103,2,2,1,1,1,1,1.5846
51,30,30,96,1,1,1,2,1,1,1.4468
51,12,12,122,1,1,1,2,1,1,1.5262
51,24,24,110,2,1,2,2,1,1,1.5548
51,25,25,106,1,2,2,1,0,0,0.01522
51,1,1,134,1,2,1,1,1,1,1.7349
51,17,17,121,2,1,2,2,1,1,1.6328
51,14,14,115,2,2,2,2,1,1,1.7319
51,5,5,133,1,1,1,1,1,1,1.4505
51,23,23,103,2,1,1,2,1,1,1.7304
51,17,17,121,2,1,1,1,1,1,1.4739
51,10,10,128,2,1,2,1,1,1,1.5942
51,2,2,133,2,2,1,1,1,1,1.5321
51,30,30,97,2,2,2,1,1,1,1.5549
51,10,10,128,2,1,1,2,1,1,1.7837
51,7,7,127,1,1,1,1,1,1,1.6155
51,16,16,111,2,2,1,1,1,1,1.8125
51,22,22,115,2,1,2,2,1,1,1.8119
