subID,domEyeR,threshStHi,threshStLo,thresh,Trial_number,Sentence_ID,Sentence_pixel_length,Congruent,Familiar,LocationTop,Cued,Trialcorrect,Trialbroken,ST
2,1,0.8,0.15,0.475,230,26,105,0,0,1,1,1,1,1.6422
2,1,0.8,0.15,0.475,231,29,93,1,1,1,0,1,1,1.3562
2,1,0.8,0.15,0.475,232,29,102,0,1,0,1,1,1,1.1725
2,1,0.8,0.15,0.475,233,29,93,1,0,0,1,1,1,1.2456
2,1,0.8,0.15,0.475,234,32,0,0,0,1,1,1,1,0.9224
2,1,0.8,0.15,0.475,235,8,128,0,1,1,0,1,1,1.7134
2,1,0.8,0.15,0.475,236,27,106,1,1,0,0,1,1,1.1747
2,1,0.8,0.15,0.475,237,9,125,1,1,0,1,1,1,1.4301
2,1,0.8,0.15,0.475,238,20,115,0,1,0,0,1,1,1.5254
2,1,0.8,0.15,0.475,239,3,133,0,0,0,1,1,1,1.4386
2,1,0.8,0.15,0.475,240,21,114,1,0,1,0,1,1,1.4442
2,1,0.8,0.15,0.475,241,15,121,0,1,0,0,1,1,1.3994
2,1,0.8,0.15,0.475,242,3,129,1,1,1,1,1,1,1.6385
2,1,0.8,0.15,0.475,243,17,113,1,0,0,1,1,1,1.244
2,1,0.8,0.15,0.475,244,11,123,1,1,0,0,1,1,1.2581
2,1,0.8,0.15,0.475,245,25,111,0,0,0,0,1,1,1.4066
2,1,0.8,0.15,0.475,246,2,133,0,1,1,1,1,1,1.3073
2,1,0.8,0.15,0.475,247,3,133,0,1,1,1,1,1,1.6358
2,1,0.8,0.15,0.475,248,4,125,0,1,1,1,1,1,1.5464
2,1,0.8,0.15,0.475,249,3,129,1,1,1,0,1,1,1.3949
2,1,0.8,0.15,0.475,250,5,133,1,1,1,0,1,1,1.6477
2,1,0.8,0.15,0.475,251,17,113,1,1,0,1,1,1,1.1813
2,1,0.8,0.15,0.475,252,10,128,0,0,1,0,1,1,1.6913
2,1,0.8,0.15,0.475,253,27,106,1,1,1,0,1,1,1.7838
2,1,0.8,0.15,0.475,254,1,136,0,1,1,1,1,1,1.4917
2,1,0.8,0.15,0.475,255,4,128,1,1,1,1,1,1,1.6581
2,1,0.8,0.15,0.475,256,18,111,1,1,0,1,1,1,1.1393
2,1,0.8,0.15,0.475,257,5,133,1,1,1,1,1,1,1.7835
2,1,0.8,0.15,0.475,258,5,129,0,1,0,0,1,1,1.2365
2,1,0.8,0.15,0.475,259,20,110,1,0,0,0,1,1,1.1017
2,1,0.8,0.15,0.475,260,9,129,0,0,1,0,1,1,1.9717
2,1,0.8,0.15,0.475,261,31,0,1,1,1,0,0,0,0.012232
2,1,0.8,0.15,0.475,262,21,109,0,0,1,0,1,1,1.4738
2,1,0.8,0.15,0.475,263,12,122,1,1,0,0,1,1,1.2735
2,1,0.8,0.15,0.475,264,10,124,1,0,1,0,1,1,1.6497
2,1,0.8,0.15,0.475,265,16,111,0,0,0,0,1,1,1.1836
2,1,0.8,0.15,0.475,266,15,116,1,1,0,0,1,1,1.438
2,1,0.8,0.15,0.475,267,24,110,1,1,0,1,1,1,1.3672
2,1,0.8,0.15,0.475,268,30,96,1,1,0,0,1,1,1.4289
2,1,0.8,0.15,0.475,269,25,106,1,0,0,1,1,1,1.408
2,1,0.8,0.15,0.475,270,17,121,0,1,0,1,1,1,1.2053
2,1,0.8,0.15,0.475,271,9,125,1,0,0,1,1,1,1.2753
2,1,0.8,0.15,0.475,272,1,136,0,0,1,0,1,1,1.2972
2,1,0.8,0.15,0.475,273,12,122,1,0,1,0,1,1,1.5935
2,1,0.8,0.15,0.475,274,8,129,1,0,0,1,1,1,1.2993
2,1,0.8,0.15,0.475,275,13,118,0,0,1,0,1,1,1.5759
2,1,0.8,0.15,0.475,276,22,111,1,1,0,1,1,1,1.1417
2,1,0.8,0.15,0.475,277,19,115,1,0,0,1,1,1,1.2214
2,1,0.8,0.15,0.475,278,29,102,0,1,1,1,1,1,1.737
2,1,0.8,0.15,0.475,279,2,131,1,1,1,0,1,1,1.619
2,1,0.8,0.15,0.475,280,26,105,0,0,0,1,1,1,1.225
2,1,0.8,0.15,0.475,281,19,115,1,0,1,0,1,1,1.6151
2,1,0.8,0.15,0.475,282,21,109,0,1,1,1,1,1,1.5936
2,1,0.8,0.15,0.475,283,32,0,0,1,0,1,1,1,0.27762
2,1,0.8,0.15,0.475,284,15,121,0,0,1,1,1,1,1.6339
2,1,0.8,0.15,0.475,285,23,109,1,1,1,1,1,1,1.7627
2,1,0.8,0.15,0.475,286,8,129,1,0,1,1,1,1,1.6199
2,1,0.8,0.15,0.475,287,15,121,0,0,0,1,1,1,1.1141
2,1,0.8,0.15,0.475,288,1,134,1,1,0,1,1,1,1.4268
2,1,0.8,0.15,0.475,289,32,0,1,0,1,1,0,1,0.21806
2,1,0.8,0.15,0.475,290,15,116,1,0,0,0,1,1,1.4257
2,1,0.8,0.15,0.475,291,26,105,0,0,1,0,1,1,1.5694
2,1,0.8,0.15,0.475,292,4,128,1,0,1,0,1,1,1.6049
2,1,0.8,0.15,0.475,293,7,128,0,1,1,0,1,1,1.6304
2,1,0.8,0.15,0.475,294,11,123,1,0,0,0,1,1,1.1659
2,1,0.8,0.15,0.475,295,1,136,0,0,0,1,1,1,1.1548
2,1,0.8,0.15,0.475,296,28,100,0,0,1,0,1,1,1.5489
2,1,0.8,0.15,0.475,297,15,116,1,1,1,1,1,1,1.8112
2,1,0.8,0.15,0.475,298,6,129,1,0,1,0,1,1,1.5017
2,1,0.8,0.15,0.475,299,6,129,1,0,0,1,1,1,1.1417
2,1,0.8,0.15,0.475,300,28,108,1,1,1,0,1,1,1.371
2,1,0.8,0.15,0.475,301,31,0,0,1,1,0,0,0,0.0027923
2,1,0.8,0.15,0.475,302,27,106,1,0,1,1,1,1,1.405
2,1,0.8,0.15,0.475,303,1,134,1,1,1,1,1,1,1.6278
2,1,0.8,0.15,0.475,304,21,109,0,1,0,1,1,1,1.1748
2,1,0.8,0.15,0.475,305,24,110,0,1,1,0,1,1,1.396
2,1,0.8,0.15,0.475,306,10,124,1,1,1,0,1,1,1.5813
2,1,0.8,0.15,0.475,307,22,111,1,0,1,1,1,1,1.4514
2,1,0.8,0.15,0.475,308,19,115,1,0,0,0,1,1,1.0872
2,1,0.8,0.15,0.475,309,2,131,1,1,0,1,1,1,1.1512
2,1,0.8,0.15,0.475,310,26,105,0,1,1,0,1,1,1.508
2,1,0.8,0.15,0.475,311,29,93,1,1,0,1,1,1,1.1811
2,1,0.8,0.15,0.475,312,31,0,1,0,0,0,0,0,0.0089128
2,1,0.8,0.15,0.475,313,24,110,0,1,1,1,1,1,1.735
2,1,0.8,0.15,0.475,314,7,128,0,0,1,0,1,1,1.4077
2,1,0.8,0.15,0.475,315,10,124,1,0,1,1,1,1,1.4901
2,1,0.8,0.15,0.475,316,11,123,1,1,0,1,1,1,1.0516
2,1,0.8,0.15,0.475,317,23,103,0,1,1,1,1,1,1.2918
2,1,0.8,0.15,0.475,318,26,106,1,0,1,0,1,1,1.4095
2,1,0.8,0.15,0.475,319,27,104,0,1,1,0,1,1,1.5435
2,1,0.8,0.15,0.475,320,19,112,0,0,0,0,1,1,1.1327
2,1,0.8,0.15,0.475,321,30,97,0,1,0,1,1,1,1.2492
2,1,0.8,0.15,0.475,322,2,131,1,0,0,1,1,1,1.4939
2,1,0.8,0.15,0.475,323,9,125,1,1,1,1,1,1,1.8694
2,1,0.8,0.15,0.475,324,31,0,1,0,1,1,1,1,0.69379
2,1,0.8,0.15,0.475,325,3,129,1,1,0,1,1,1,1.2484
2,1,0.8,0.15,0.475,326,23,109,1,0,0,1,1,1,1.2976
2,1,0.8,0.15,0.475,327,18,111,1,1,1,0,1,1,1.4661
2,1,0.8,0.15,0.475,328,25,106,1,0,0,0,1,1,1.3544
2,1,0.8,0.15,0.475,329,2,133,0,1,0,0,1,1,1.3597
2,1,0.8,0.15,0.475,330,27,104,0,1,0,1,1,1,1.3706
2,1,0.8,0.15,0.475,331,14,121,1,1,0,0,1,1,1.1823
2,1,0.8,0.15,0.475,332,18,117,0,0,0,1,1,1,1.1393
2,1,0.8,0.15,0.475,333,10,128,0,1,1,0,1,1,1.499
2,1,0.8,0.15,0.475,334,31,0,0,0,1,1,1,1,0.19859
2,1,0.8,0.15,0.475,335,30,97,0,0,1,1,1,1,1.5808
2,1,0.8,0.15,0.475,336,24,110,0,0,1,0,1,1,1.6106
2,1,0.8,0.15,0.475,337,24,110,0,0,1,1,1,1,1.9921
2,1,0.8,0.15,0.475,338,5,129,0,1,1,0,1,1,1.8274
2,1,0.8,0.15,0.475,339,13,118,0,0,0,1,1,1,1.2523
2,1,0.8,0.15,0.475,340,14,121,1,0,1,0,1,1,1.5968
2,1,0.8,0.15,0.475,341,12,122,1,1,1,1,1,1,1.4937
2,1,0.8,0.15,0.475,342,16,111,0,1,0,0,1,1,1.3259
2,1,0.8,0.15,0.475,343,28,108,1,0,1,0,1,1,1.5486
2,1,0.8,0.15,0.475,344,11,125,0,0,1,1,1,1,1.7291
2,1,0.8,0.15,0.475,345,11,125,0,1,0,1,1,1,1.1886
2,1,0.8,0.15,0.475,346,1,134,1,1,1,0,1,1,1.6284
2,1,0.8,0.15,0.475,347,8,129,1,1,1,0,1,1,1.8667
2,1,0.8,0.15,0.475,348,25,111,0,1,1,0,1,1,1.9999
2,1,0.8,0.15,0.475,349,7,127,1,0,1,1,1,1,1.681
2,1,0.8,0.15,0.475,350,27,106,1,0,1,0,1,1,1.5348
