subID,domEyeR,threshStHi,threshStLo,thresh,Trial_number,Sentence_ID,Sentence_pixel_length,Congruent_1,Familiar_1,LocationTop_1,Cued_1,Trialcorrect_1,Trialbroken_1,ST,
32,1,0.26495,0.22929,0.24712,192,20,110,1,0,0,1,1,1,1.2048,1
32,1,0.26495,0.22929,0.24712,193,31,0,1,1,1,0,0,0,5.0116,0
32,1,0.26495,0.22929,0.24712,194,4,128,1,1,0,1,1,1,0.99402,1
32,1,0.26495,0.22929,0.24712,195,6,129,1,1,0,1,1,1,1.1204,1
32,1,0.26495,0.22929,0.24712,196,13,118,1,0,0,1,1,1,1.457,1
32,1,0.26495,0.22929,0.24712,197,23,103,0,0,0,1,1,1,1.5028,1
32,1,0.26495,0.22929,0.24712,198,18,117,0,1,0,1,1,1,1.2753,1
32,1,0.26495,0.22929,0.24712,199,8,128,0,0,0,1,1,1,1.2054,1
32,1,0.26495,0.22929,0.24712,200,17,113,1,0,0,1,1,1,1.2941,1
32,1,0.26495,0.22929,0.24712,201,5,133,1,0,0,1,1,1,1.284,1
32,1,0.26495,0.22929,0.24712,202,4,128,1,1,1,0,1,1,1.65,0
32,1,0.26495,0.22929,0.24712,203,25,111,0,1,1,0,1,1,1.7527,0
32,1,0.26495,0.22929,0.24712,204,27,104,0,0,0,1,1,1,1.1556,1
32,1,0.26495,0.22929,0.24712,205,19,112,0,1,1,0,1,1,1.3088,0
32,1,0.26495,0.22929,0.24712,206,2,131,1,0,1,0,1,1,1.4258,0
32,1,0.26495,0.22929,0.24712,207,10,124,1,0,0,1,1,1,1.0994,1
32,1,0.26495,0.22929,0.24712,208,4,128,1,0,0,1,1,1,1.1214,1
32,1,0.26495,0.22929,0.24712,209,10,128,0,1,0,1,1,1,1.1158,1
32,1,0.26495,0.22929,0.24712,210,24,110,0,0,1,0,1,1,1.5186,0
32,1,0.26495,0.22929,0.24712,211,11,125,0,0,0,1,1,1,1.2615,1
32,1,0.26495,0.22929,0.24712,212,31,0,1,1,1,0,0,0,5.0124,0
32,1,0.26495,0.22929,0.24712,213,4,125,0,1,0,1,1,1,1.0772,1
