SubjectID,SentenceID,Congruent,Familiar,LocationTop,CueValid,ST
1,28,0,0,1,1,1.4351
1,9,1,1,0,0,1.8131
1,5,0,0,0,1,1.7637
1,20,0,1,0,1,1.5213
1,28,0,1,1,0,1.3967
1,2,1,1,1,1,1.6076
1,21,0,0,0,0,1.5091
1,30,1,0,0,1,1.6673
1,26,1,0,0,0,1.4113
1,7,0,0,0,0,1.5807
1,21,0,1,1,1,1.5058
1,15,0,0,1,1,1.8262
1,10,1,0,0,1,1.2542
1,9,0,0,1,1,1.5313
1,12,1,1,0,1,1.1732
1,15,0,1,1,0,1.4469
1,19,1,0,0,1,1.1868
1,15,1,0,1,1,1.5212
1,6,0,0,1,0,1.5504
1,1,0,0,1,0,1.5742
1,9,1,0,1,0,1.5833
1,14,1,0,0,0,1.559
1,30,1,1,0,0,1.5388
1,2,1,0,0,1,1.8733
1,25,1,1,0,1,1.5097
1,25,0,0,1,0,1.4748
1,20,1,1,1,1,1.9042
1,6,0,0,0,1,1.6211
1,23,0,0,0,0,1.2496
1,14,1,1,1,1,1.5254
1,17,1,0,1,0,1.3059
1,7,1,1,0,1,1.7107
1,31,0,1,1,0,0.01198
1,5,0,1,1,1,1.9904
1,1,1,1,0,1,1.7398
1,24,1,1,1,1,1.318
1,28,1,1,1,1,1.4843
1,4,1,0,0,0,1.5536
1,29,1,0,1,1,1.5714
1,2,0,1,1,0,0.003605
1,20,0,0,1,0,1.5079
1,16,0,1,0,1,1.87
1,29,0,0,0,0,0.003443
1,18,0,1,1,0,0.02682
1,10,0,0,0,0,1.5214
